madde,anlam
çemberleme,Çemberlemek işi
çemberlemek,Çemberle kuşatmak
çemberlenme,Çemberlenmek işi
çemberlenmek,Çemberle kuşatılmak
çemberletme,Çemberletmek işi
çemberletmek,Çemberlenmesini sağlamak
çemberli,Çemberi olan
çember makası,Karyola ve somya imalatında kullanılacak olan çelik çemberleri kesmeye yarayan araç
çember sakal,Yuvarlak bir biçimde kesilmiş sakal
çembersel bölge,Çember ve çemberin içindeki noktaların meydana getirdiği düz yüzey
çembersiz,Çemberi olmayan
çemçe,Çömçe
çemen,"Maydanozgillerden, kimyon türü bir bitki (Cuminum cyminum)"
çemenleme,Çemenlemek işi
çemenlemek,Çemen sürmek
çemenli,Çemeni olan veya çemen sürülmüş olan
çemiç,Dut veya üzüm kurusu
çemkiriş,Çemkirme işi
çemkirme,Çemkirmek işi
çemkirmek,"Birine karşı gelmek, sert cevap vermek"
çemrek,Kolları ve bacakları sıvanmış (kimse)
çemreme,Çemremek işi
çemremek,"Kolunu veya paçalarını sıvamak, eteğini toplamak"
çemrenme,Çemrenmek işi
çemrenmek,"Kendi kol ve paçalarını sıvamak, eteğini toplamak"
çençen,Geveze
çenesinin bağı çözülmek,"gevezelik etmek, yerli yersiz, sürekli konuşmak"
çenesine vurmak,"aşırı derecede konuşmak, gevezelik etmek"
çenesini tutmak,ağzını tutmak
çenesini kapatmak,susturmak
çenesini bağlamak,ölen bir kimsenin çenesi altından geçirilen tülbendi başının üstünde düğümlemek
çenesini açtırmak,söz fırsatı vermek
çenesini açmak,çok konuşmasına sebep olmak
çenesi oynamak,bir şey yemek
çenesi kilitlenmek,alt ve üst çene sımsıkı bir durumda bir araya gelmek
çenesini dağıtmak,iyice dövmek
çenesi durmamak,gereksiz yere sürekli konuşmak
çenesi düşmek,yerli yersiz konuşup gevezelik etmek
çene,"Canlılarda baş bölümünde yer alan, kemik veya kıkırdak ile desteklenen, altlı üstlü dişleri taşıyan ve ağzın kapanıp açılmasını sağlayan kasları üzerinde barındıran iki parçaya verilen ad"
çene çalmak,gevezelik etmek
çene patlatmak,karşı tarafa anlatabilmek veya kabul etmesini sağlamak için bir konu üzerinde uzun uzun konuşmak
çene yarıştırmak,"karşılıklı gevezelik etmek, çok konuşmak"
çenesini bıçak açmamak,ağzını bıçak açmamak
çene yormak,boşuna söyleyip durmak
çenen tutulsun!,şom ağızlılara `söyleyemez ol!` anlamında kullanılan bir ilenme sözü
çenesi açılmak,"durmadan konuşmak, gevezelik etmek"
çenesi atmak,can çekişirken çenesi titremek
çene yetiştirmek,konuşmayı sürdürmek
çenebaz,"Çok konuşan, çenesi kuvvetli, çeneli"
çenebazlık,Çenebaz olma durumu
çene çukuru,Alt çenenin ucundaki çukur
çenek,Tohumda embriyoyu kaplayan etli bölüm
çene kavafı,Geveze
çenekli,Çeneği olan
çeneksiz,Çeneği olmayan veya çenekleri iyi görülemeyen
çeneleşme,Çeneleşmek işi
çeneleşmek,Karşılıklı olarak konuşmak
çeneli,Çenesi olan
çenesi düşük,"Çok gereksiz şeyler konuşan (kimse), boşboğaz, geveze"
çenesi kuvvetli,Çenebaz
çenesiz,Çenesi olmayan
çenet,Açıldığında tohumların ortaya çıktığı kabuk
çenetli,İki veya daha çok çenedi bulunan
çene yarışına girmek,birbirinin sözünü keserek susmamacasına konuşmak
çene yarışı,Sürekli karşılıklı konuşma
çengel takmak,uğraşmak veya kötülük etmek için el atmak
çengel,"Bir yere takılmaya, geçirilmeye yarayan eğri ve ucu sivri demir"
çengel atmak,bir konuya taraftar toplama girişiminde bulunmak
çengel çeneliler,"Çeneleri gaga biçiminde uzamış ve tam kemikleşmemiş balıklar takımı, yapışık çeneliler"
çengel iğnesi,Çengel biçiminde ilmiklerden oluşan bir işleme türü
çengelleme,Çengellemek işi
çengellemek,Çengelini takmak
çengellenmek,"Çengel takılmak, çengelle tutturulmak"
çengelleyiş,Çengelleme işi
çengelli,Çengeli olan veya ucu çengel biçiminde olan
çengelli iğne,"Tutturulduğu yerden kurtulmaması için ucu özel yuvaya geçirilen iğne, kancalı iğne, çengel iğnesi, çatallı iğne"
çengel sakızı,Kenger sakızı
çengelsi,"Çengeli andıran, çengel biçimli, çengelimsi"
çengi ölüsü çalgı (veya daire veya tef) ile kalkar,"`zevk ve sefa içinde ömür sürmüş bir kimse, en sıkıntılı günlerinde bile bu alışkanlığını bırakamaz` anlamında kullanılan bir söz"
çengi,Çalgı eşliğinde oynamayı meslek edinmiş kadın
çengi kolu,"Çengilerden oluşan topluluk, çengi takımı"
çengilik,Çenginin yaptığı iş
çengi takımı,Çengi kolu
çenileme,Çenilemek işi
çenilemek,Canı yanan köpek ağlar gibi acı acı ses çıkarmak
çenk,"Arpı andıran, telli bir çalgı"
çentik atmak,çentiklemek
çentik açmak,çentik oluşturmak
çentik,"Bir şeyin kenarından kesilerek veya kırılarak açılan küçük kertik, tırtık"
çentikleme,Çentiklemek işi
çentiklemek,Bir şeyde çentik açmak
çentiklenme,Çentiklenmek işi
çentiklenmek,Çentikli duruma gelmek
çentikli,Üzerinde çentik bulunan
çentilme,Çentilmek durumu
çentilmek,Çentme işine konu olmak
çentme,Çentmek işi
çentmek,Bir şeyin kenarında kertik açmak
çepeçevre,Bütün yanlarını kuşatan
çepel,"Kir, bulaşık, çamur, pislik"
çepelleme,Çepellemek işi
çepellemek,Çepel duruma getirmek
çepellenme,Çepellenmek işi
çepellenmek,Çepelli duruma gelmek
çepelli,"İçinde sap, taş, toprak vb. yabancı madde bulunan"
çepellilik,Çepelli olma durumu
çeper,Çit
çeper çekmek,çitten duvar çevirmek
çeperli,"Çeperi olan, çeperle çevrili bulunan"
çepez,Bozuk ipek kozası
çepin,Bahçelerde kullanılan küçük çapa
çerçeve,"Resim, yazı, ayna vb.ni süslemek veya bir yere asılabilecek duruma getirmek için bunlara geçirilen kenarlık"
çerçeve anlaşma,Hükûmet ile sendika ve işverenler arasında toplu sözleşme öncesinde varılan ön anlaşma
çerçeveci,Çerçeve yapan kimse
çerçevecilik,Çerçevecinin yaptığı iş
çerçeveleme,Çerçevelemek işi
çerçevelemek,Bir şeyi çerçeve içine almak
çerçevelenme,Çerçevelenmek işi
çerçevelenmek,Çerçeve içine alınmak
çerçeveletme,Çerçeveletmek işi
çerçeveletmek,Çerçeve geçirtmek
çerçeveli,Çerçeve geçirilmiş veya çerçeve içine alınmış olan
çerçevesiz,Çerçeve içinde olmayan
çerçi kızı boncuğa âşıktır,`bir insan hangi işle uğraşıyorsa yakınındakiler de o işi çok sever` anlamında kullanılan bir söz
çerçi,"Köy, pazar vb. yerlerde dolaşarak ufak tefek tuhafiye eşyası satan kimse"
çerçi başındakini satar,`satıcı elinde neyi varsa satar` anlamında kullanılan bir söz
çerçilik,Çerçinin yaptığı iş
çer çöp,Çalı çırpı kırıntısı
çerden çöpten,"Dayanıksız, çürük malzeme kullanılarak yapılmış"
çerez,"Asıl yemekten sayılmayan, peynir, zeytin vb. yiyecekler"
çerez gibi gelmek,bir iş çok kolay olmak
çerez gibi yemek,gereğinden çok ve hızlı yemek
çerez gibi,çok kolay
çerezci,Çerez satan kimse
çerezcilik,Çerezcinin yaptığı iş
çerezlenme,Çerezlenmek işi
çerezlenmek,Çerez türünden bir şeyler yemek
çerezlik,Çerez olabilecek şeyler
çerge,"Derme çatma çadır, göçebe çadırı"
çergeci,Padişah çadırını beklemekle görevli yeniçeri
çergici,Pazarlarda sergi açan gezginci esnaf
çeri,Asker
çeribaşı,Alay beyi
çeribaşılık,Çeribaşı olma durumu
Çerkez,Kafkasya'da yaşayan bir boy veya bu boydan olan kimse
Çerkezce,Çerkez dili
Çerkezlik,Çerkez olma durumu
Çerkez peyniri,"Peynir yapmak için mayalanan sütün ince dilimlenerek sıcak suya atılmasıyla yapılan, taze veya kuru olarak yenen tuzlu bir peynir türü"
çerkeztavuğu,"Tavuk, hindi vb. kümes hayvanlarının etinden yapılan ve salçasına dövülmüş ceviz, biber katılarak hazırlanan bir yemek"
çermik,"Kaplıca, ılıca"
çerviş,Kasaplık hayvanlardan elde edilen çeşitli yağların eritilmişi
çervişli,Çervişi olan
çeşit,"Aynı türden olan şeylerin bazı özelliklerle ayrılan öbeklerinden her biri, tür, makule, nev"
çeşit çeşit,"Çeşitli olan, türlü türlü"
çeşitkenar,Kenarlarından hiçbiri ötekine eşit olmayan (çokgen)
çeşitkenar üçgen,Üç kenarı da ayrı uzunlukta olan üçgen
çeşitleme,Çeşitlemek işi
çeşitlemek,Bir şeyin çeşidini artırmak
çeşitlendirme,Çeşitlendirmek işi
çeşitlendirmek,Çeşitlerini artırmak
çeşitlenme,Çeşitlenmek işi
çeşitlenmek,Çeşitli duruma gelmek
çeşitli,"Çeşidi çok olan, türlü, mütenevvi"
çeşitlilik,"Çeşidi çok olma durumu, izge, yelpaze, tenevvü, spektrum"
çeşme,"Genellikle yol kenarlarında herkesin yararlanması için yapılan, borularla gelen suyun bir oluktan veya musluktan aktığı, yalaklı su hazinesi veya yapısı, pınar"
çeşmeye gitse çeşme kuruyacak,çok talihsiz kimseler için söylenen bir söz
çeşmibülbül,"Üzeri beyaz, sarmal süsler ve çiçek motifleri ile bezenmiş cam işi"
çeşnisine bakmak,tadına bakmak
çeşni tutmak,ekmekçilikte una karıştırılacak suyun oranını belirtmek
çeşni,"Yiyeceğin ve içeceğin tadı, tadımlık"
çeşni katmak,değişik bir katkı yapmak
çeşnici,Saraylarda ve büyük konaklarda yemek ve sofra işlerini yöneten kimse
çeşnicibaşı,Sık sık eş değiştiren erkek
çeşnicilik,Çeşnicinin yaptığı iş
çeşnileme,Çeşnilemek işi
çeşnilemek,Çeşni vermek
çeşnilenme,Çeşnilenmek işi
çeşnilenmek,Tadı yerine gelmek
çeşnili,Çeşni katılmış olan
çeşnilik,Yemeğe çeşni vermek için katılan baharat vb
çete,Yasa dışı işler yapmak veya etrafındakileri korkutmak amacıyla bir araya gelmiş topluluk
çeteci,Çeteden olan kimse
çetecilik,Çetecinin yaptığı iş
çetele,Çizilerek veya oyularak açılan kertik
çetele çekmek (veya tutmak),hesap tutmak amacı ile bir yere çizgiler çizmek
çeteleye dönmek,insanın yüzünde veya başka bir tarafında birçok kesik ve sıyrık oluşmak
çeteleşme,Çeteleşmek işi
çeteleşmek,Çete durumuna gelmek
çeteleştirme,Çeteleştirmek işi
çeteleştirmek,Çete durumuna getirmek
çedene,Kendirin tohumu
çete savaşı,Küçük asker birlikleri veya çeteler tarafından düşmanı yıpratmak için her türlü yola başvurarak yapılan savaş
çetin,"Amaçlanan duruma getirilmesi, elde edilmesi, çözümlenmesi, işlenmesi güç veya engeli çok olan, güç (II), zor, müşkül"
çetince,Çetin
çetin ceviz,"Kırılıp ayıklanması güç olan, sert kabuklu ceviz"
çetinleşme,Çetinleşmek işi
çetinleşmek,Çetin duruma gelmek
çetinleştirme,Çetinleştirmek işi
çetinleştirmek,Çetin duruma getirmek
çetinlik,"Çetin olma durumu, sertlik"
çetrefil,"Karışıklığı dolayısıyla, anlaşılması veya sonuca bağlanması güç"
çetrefilce,Biraz çetrefil
çetrefilleşme,Çetrefilleşmek işi
çetrefilleşmek,Çetrefil duruma gelmek
çetrefilli,Karışık ve anlaşılması güç olan
çetrefillik,Çetrefil olma durumu
çetrefilsiz,Basit ve anlaşılması kolay olan
çevgen,Değnek
çevik,"Kolaylık ve çabuklukla davranan, tetik, atik, atik tetik"
çevikçe,Çevik bir biçimde
çevikleşme,Çevikleşmek işi
çevikleşmek,Çevik duruma gelmek
çevikleştirme,Çevikleştirmek işi
çevikleştirmek,Çevik duruma getirmek
çeviklik,Çevikçe davranış
çevirgeç,Anahtar
çevirgi,"Anahtar, tokmak vb. çevrilebilen araç"
çeviri,"Bir dilden başka bir dile aktarma, çevirme, tercüme"
çeviri yapmak,"bir dilden başka bir dile aktarmak, çevirmek, tercüme etmek"
çevirici,Çevirmen
çevirici dili,Bilgisayarda makine dili komutlarının sembollerle kaydedildiği alçak düzeyli programlama dili
çeviricilik,Çevirmenlik
çeviri dili,Bir bilgisayarın sembolik makine dili
çevirim,Çevirme işi
çevirim senaryosu,Çekim senaryosu
çeviriş,Çevirme işi
çevirme,"Çevirmek işi, tedvir"
çevirmek,Bir şeyin yönünü değiştirmek
çevir kazı yanmasın,karşısındakine dokunacak yersiz bir söz söylediğini fark eder etmez sözünü çevirmeye kalkışanlara söylenen bir söz
çevirmen,"Konuşmayı bir dilden başka bir dile çeviren kimse, çevirici, dilmaç, tercüman, dragoman"
çevirmenlik,"Çevirmenin yaptığı iş, çeviricilik, dilmaçlık, tercümanlık, mütercimlik"
çevir sesi,"Telefon numarasının aranmaya hazır olduğunu belirten ince ve monoton ses, sinyal"
çevir sinyali,Çevir sesi
çevirtme,Çevirtmek işi
çevirtmek,Çevirme işi yaptırmak
çevre,"Bir şeyin yakını, dolayı, etraf, periferi"
çevre açı,"Geometride, bir çemberin iç bölgesinde, köşesi çember üzerinde bulunan açı"
çevre bilimci,Çevre bilimleri uzmanı
çevre bilimleri,"Çeşitli bilim dallarını içerisinde toplayan, insan doğa ilişkilerini ve çevre sorunlarını inceleyen, uygulamalı ve disiplinler arası bilimler"
çevre bilimsel,"Çevre bilimleriyle ilgili, çevre bilimlerine dayanan"
çevreci,Çevre kirliliği sorunlarıyla uğraşan kimse veya topluluk
çevrecilik,Çevrecinin yaptığı iş
çevre kirliliği,"Doğal kaynakların aşırı ve yanlış kullanılması, tahrip edilmesi sonucunda çevrede dengenin olumsuz yönde bozulması ve birtakım sorunların ortaya çıkması"
çevreleme,Çevrelemek işi
çevrelemek,İçine almak
çevreleniş,Çevrelenme işi
çevrelenme,Çevrelenmek işi
çevrelenmek,"Kuşatılmak, sınır içine alınmak, tahdit edilmek"
çevreleyiş,Çevreleme işi
çevrelik,"Marangozlukta, mimarlıkta ve dülgerlikte kullanılan bütün kenar parçaları"
çevren,"Anlayış, kavrayış, görüş, düşünce gücü"
çevre sağlığı,Belli bir çevrede yaşayan kişilerin sağlığını etkileyen dış faktörler ve alınan önlemler
çevresel,Çevre ile ilgili
çevre teker,"Sap ve kökte, merkez bölümünün en dış kuşağı"
çevre yolu,Şehir trafiğini aksatmamak amacıyla yerleşim yerinin dışından geçen ve şehir yollarına bağlanan ana yol
çevri,"Bir söz veya davranışı görünür anlamından başka bir anlamda kabul etme, tevil"
çevrik,"Çevrilmiş, dönük"
çevrileme,Çevrilemek işi
çevrilemek,"Çevriye uğratmak, tevil etmek"
çevrili,"Çevrilmiş, kuşatılmış"
çevriliş,Çevrilme işi
çevrilme,Çevrilmek işi
çevrilmek,Çevirme işine konu olmak
çevrim,Devir
çevrimli,"İşi iyi yöneten, becerikli, idareli"
çevrimsel,"Çevrimle ilgili veya çevrim biçiminde olan, devrî"
çevrinme,"Çevrinmek işi, tavaf"
çevrinmek,"Bir şeyin etrafında saygı ile dolanmak, tavaf etmek"
çevrinti,Bir şeyin kendi ekseni çevresinde sürekli dönmesi
çeviri yazı,"Bir yazıyı bütün ses inceliklerini belirterek başka bir alfabeye çevirme yolu, yazı çevirimi, transkripsiyon"
çeyiz,"Gelin için hazırlanan her türlü eşya, cihaz"
çeyiz düzmek,çeyiz hazırlamak
çeyizci,Çeyiz hazırlayan veya satan kimse
çeyizcilik,Çeyizcinin yaptığı iş
çeyizli,Çeyizi olan
çeyizlik,Çeyiz eşyası
çeyizsiz,Çeyizi olmayan
çeyrek,Dörtte bir
çeyrek final,Bir yarışmada ikili eşlemelerle son sekiz takımın oluşturduğu grup veya aşama
çeyrek finalist,Çeyrek final aşamasına yükselme başarısını gösteren ekip veya kişi
çeyrekleme,Çeyreklemek işi
çeyreklemek,Süt çocuklarının kollarını ve bacaklarını çaprazlayarak vücutlarına idman yaptırmak
çeyrek son,Koşularda yarı final yarışına katılacak dört kişiyi seçmek üzere sekiz kişi veya dört takımı ayırmak için sekiz takım arasında düzenlenen seçme yarışı
çıban,"Vücudun herhangi bir yerinde oluşan ve çoğu, deride veya deri altında şişkinlik, kızartı, ağrı ve ateş ile kendini gösteren irin birikimi"
çıban işlemek,çıban irin akıtmak
çıbanın başını koparmak,ağır bir sorunun patlak vermesine yol açmak
çıban ağırşağı,Çıbanın patlamak üzere olan yeri
çıbanbaşı,Yaranın ucu
çıbanlaşma,Çıbanlaşmak durumu
çıbanlaşmak,Çıban durumuna gelmek
çıdam,Sabır
Çıfıt,Yahudi
çıfıt çarşısı,Türlü şeylerin karmakarışık bir durumda bulunduğu yer
Çıfıtlık,Yahudilik
çığ,Dağın bir noktasından kopup yuvarlanan ve yuvarlandıkça büyüyen kar kümesi
çığ düşmek,dağdan aşağı çığ yuvarlanmak
çığ gibi büyümek,bir olay birdenbire ve etkileyici bir biçimde büyümek
çığa,Yumurtasından havyar yapılan bir tür mersin balığı (Acipenser ruthenus)
çığa,"Horoz, cennet kuşu vb. kuşların kuyruğundaki tüylerden en uzun ve gösterişli olanı"
çığalanma,Çığalanmak işi
çığalanmak,Atın kuyruğu horoz kuyruğu gibi dikilmek
çığıltı,Çığlıkla karışık sesin adı
çığır açmak,"bir alanda yeni bir yol, yöntem başlatmak"
çığır,Çığın kar üzerinde açtığı iz
çığırış,Çığırma işi
çığırma,Çığırmak işi
çığırmak,"Çağırmak, seslenmek"
çığırtı,Çığırma sesi
çığırtkan,Çağırtkan
çığırtkanlık,Çığırtkanın yaptığı iş
çığırtma,Çığırtmak işi
çığırtmacı,Çığırtma çalan kimse
çığırtmak,Çağırtmak
çığlık,"Acı, ince ve keskin ses, feryat, figan"
çığlık atmak (veya koparmak veya basmak),kulak tırmalayıcı korkunç sesler çıkararak acı acı bağırmak
çığralık,"Karda kürekle, dallarla açılan dar yol"
çıkacak,"Hamamlarda dışarıya çıkıp giyinme yerine giderken kurulanmak üzere verilen havlu, çıkma"
çıkagelme,Çıkagelmek işi
çıkagelmek,Beklenmedik bir zamanda gelmek
çıkak,"Çıkılacak yer, çıkıt, mahreç"
çıkan,Çıkarma işleminde bütünden alınan sayı
çıkar,"Dolaylı bir biçimde elde edilen kazanç, menfaat, yarar"
çıkar gözetmek,çıkarına bakmak
çıkarına bakmak,yalnızca kendini ve kendi durumunu gözeterek çıkar sağlamak
çıkarını tepmek,kendisine yarar sağlayacak bir şeyi veya bir durumu istememek
çıkar budak,Çevresi ile bağlantısı zayıflayan ve bazı ağaç türlerinde kendiliğinden düşebilen bir tür budak
çıkarcı,"Yalnız kendi çıkarını düşünen, çıkarını kollayan (kimse), çıkarsever, menfaatçi, menfaat düşkünü, menfaatperest, menfaatperver, menfaattar"
çıkarcılık,"Çıkarcı olma durumu, çıkarseverlik, menfaatçilik, menfaatperestlik, menfaatperverlik, menfaat düşkünlüğü"
çıkarılış,Çıkarılma işi
çıkarılma,Çıkarılmak işi
çıkarılmak,Çıkarma işine konu olmak
çıkarım,Çıkarma işi
çıkarış,Çıkarma işi
çıkarma,"Çıkarmak işi, emisyon"
çıkarma birliği,"Deniz kıyısında çıkarma harekâtı yapmak üzere eğitilmiş, özel yapılmış hafif ve küçük teknelerden kurulmuş askerî birlik"
çıkarma gemisi,"Çıkarma yapılacak kıyıya asker, araç ve cephane taşımaya yarayan, altı düz küçük deniz aracı"
çıkarma harekâtı,"Düşman işgalinde olan bir kıyıya, güvenli bir köprübaşı kurmak amacıyla düzenlenen ve çeşitli birliklerin görev aldığı askerî harekât"
çıkarma işareti,Çıkarma işlemini gösteren `-` işareti
çıkarmak,"Birinin veya bir şeyin çıkmasını sağlamak, çıkmasına sebep olmak"
çıkarsama,"Bir önermeden, düşünce yoluyla bir başka önermeye geçme işi, istihraç"
çıkartı,"Boşaltım ile vücuttan dışarı çıkan madde, ıtrah maddesi"
çıkartılma,Çıkartılmak işi
çıkartılmak,Çıkartma işi yapılmak
çıkartma,Çıkartmak işi
çıkartmak,Çıkartma işini yapmak
çıkar yol,"Güç durumlarda insanı başarıya ulaştıran, kurtaran davranış, çözüm yolu, çare"
çıkı,Çıkın
çıkık,Bir kemik veya organın yerinden çıkmış olması
çıkıkçı,Çıkıkları düzelten kimse
çıkıkçılık,Çıkıkçının yaptığı iş
çıkıklık,Çıkık olma durumu
çıkılama,Çıkılamak işi
çıkılamak,Çıkı yapmak
çıkılanma,Çıkılanmak işi
çıkılanmak,Çıkılama işi yapılmak
çıkılatma,Çıkılatmak işi
çıkılatmak,Çıkı yaptırmak
çıkılma,Çıkılmak işi
çıkılmak,Çıkma işine konu olmak
çıkın,"Bir beze sarılarak düğümlenmiş küçük bohça, çıkı"
çıkın etmek,çıkınlamak
çıkınlama,Çıkınlamak işi
çıkınlamak,Çıkına koyup bağlamak
çıkıntı,Bir yüzeyde ileri doğru çıkan bölüm
çıkıntılı,Çıkıntısı olan
çıkıntısız,Çıkıntısı olmayan
çıkır çıkır,Şıkır şıkır
çıkış,Çıkma işi
çıkış almak,işten ayrılmak
çıkış vermek,belge düzenleyip işine son vermek
çıkış yapmak,"bir tartışmada, karşı düşüncede olanları alt etmek için sert davranışta bulunmak"
çıkış belgesi,"Bir kimsenin bir okulu bitirdiğini göstermek için geçici olarak verilen belge, çıkış"
çıkış çizgisi,Yarışa başlangıç olarak belirlenen beyaz çizgi
çıkış hakemi,Yarışa başlama işaretini veren görevli
çıkış kapısı,Yapılarda dışarı çıkmayı sağlayan kapı
çıkışlı,"Belli bir okulu veya öğrenim kademesini bitirmiş olan, mezun"
çıkışma,Çıkışmak işi
çıkışmak,"Bir kimseye hoşa gitmeyen bir davranışından dolayı sert sözler söylemek, azarlamak"
çıkışamamak,"boy ölçüşememek, eşit derecede olmamak"
çıkış noktası,Bir şeye başlanılan yer
çıkış takozu,"Kısa mesafeli hız koşularında, sporcuların dizlerini yere dayadıktan sonra ayaklarını bastırıp itme gücü sağlamak ve hız kazanmak amacıyla kullandıkları özel araç"
çıkıştırma,Çıkıştırmak işi
çıkıştırmak,Bir şeyi gereken miktara ulaştırmak
çıkış yolu,Çözüm
çıkıt,Çıkak
çıkma,Çıkmak işi
çıkma durumu,"Ad soylu bir sözün taşıdığı kavramda çıkış bildiren, -dan / -den, - tan / -ten ekleri ile kurulan durum, ayrılma durumu, ablatif: okuldan, evden, sokaktan, işten vb"
çıkmak,"İçeriden dışarıya varmak, gitmek"
çıkmadık canda umut var,`elden gitti sandığımız bir şeyle ilgimiz büsbütün kesilmemişse gereken çabayı harcayarak onun elimizde kalmasını sağlayabileceğimizi umabiliriz` anlamında kullanılan bir söz
çıkmaklık,Çıkma durumunda olma
çıkmalı,Çıkma durumunda olan
çıkmalı tamlama,Tamlayanı çıkma durumunda olan ve tamlananı üçüncü kişi iyelik eki alan tamlama: İnsanlardan bazıları. Öğrencilerden ikisi gibi
çıkmalı tümleç,Fiilin anlamını tamlayan ve çıkma durumunda bulunan dolaylı tümleç
çıkmaz,"Sonu kapalı, çıkış yeri olmayan, hiçbir yere ulaşamayan yol, sokak"
çıkmaz ayın son çarşambası,işin hiçbir zaman yapılmayacağını anlatan bir söz
çıkmaza girmek,"bir iş çözümlenemeyecek, içinden çıkılmayacak bir duruma düşmek"
çıkmaza sokmak,"bir işi, bir durumu çözümlenemez, güç bir duruma getirmek"
çıkmazda olmak,"çözüm bulamamak, çözümsüz durumda olmak"
çıkmaz sokak,Girişi ve çıkışı aynı olan sokak
çıkra,Sık çalı
çıkralık,Çıkra ile örtülü yer
çıkrık,Kuyudan kovayı çekmeye yarayan ve el ile çevrilen araç
çıkrıkçı,Çıkrık yapıp satan kimse
çıkrıkçılık,Çıkrıkçının yaptığı iş
çıkrıkçın,Bir tür ördek
çıkrıklı,Çıkrığı olan
çıkrıksız,Çıkrığı olmayan
çıktı almak,bilgisayarda bulunan bir metni kâğıda yazdırmak
çıktı,"Üretim sonucu ortaya çıkan ürün, girdi karşıtı"
çılbır,Kaynamış suyun içine kırılan yumurta piştikten sonra kevgirden geçirilip üzerine sarımsaklı yoğurt ve sos dökülerek hazırlanan bir yemek türü
çıldırasıya,Çılgınca
çıldır çıldır,Canlı canlı
çıldırış,Çıldırma işi
çıldırma,Çıldırmak işi
çıldırmak,"Delirmek, aklını oynatmak"
çıldırtma,Çıldırtmak işi
çıldırtmak,Çıldırmasına sebep olmak
çılgına dönmek,"sevinç, öfke, kızgınlık vb. duygular sonucu aşırı ölçüde heyecanlanmak"
çılgın,"Aşırı davranışlarda bulunan, deli, mecnun"
çılgınca,"Deli gibi, delicesine, çılgıncasına"
çılgıncasına,Çılgınca
çılgınlaşma,Çılgınlaşmak işi
çılgınlaşmak,Çılgınca davranışlarda bulunmak
çılgınlık,Aşırı davranış
çıma vermek,halat uzatmak
çıma,Halat ucu
çımacı,Vapur iskelelerinde çıma uzatan veya tutan işçi
çımacılık,Çımacının yaptığı iş
çımbar,Dokuma tezgâhındaki kumaşı germeye yarayan iki tarafı dişli araç
çımkırma,Çımkırmak işi
çımkırmak,"Kuş, pislemek"
çın,"Doğru, gerçek"
çın tutmak,"doğru olduğunu söylemek, doğrulamak"
çınar,"İki çeneklilerden, 30 metreye kadar uzayabilen, gövdesi kalın, uzun ömürlü, geniş yapraklı bir ağaç (Platanus)"
çınargiller,Örneği çınar olan bitki familyası
çınarlı,Çınarı olan
çınarlık,Çınar ağaçları çok olan yer
çınayaz,"Açık, mehtaplı, çok soğuk hava"
çın çın ötmek,sürekli olarak keskin ses çıkarmak
çın çın inletmek,gür ve keskin ses çıkarmak
çın çın,Metal eşyaya vurulduğunda çıkan sese benzeyen bir ses çıkararak
çıngar,"Kavga, gürültü"
çıngar çıkarmak (veya koparmak),"gürültü, kavga çıkarmak"
çıngar kopmak (veya çıkmak),"gürültü, kavga çıkmak"
çıngı,Kıvılcım
çıngıl,Ufak ve seyrek taneli üzüm salkımı
çıngırağı çekmek,ölmek
çıngırak,Küçük çan
çıngırakçı,Çıngırak yapan veya satan kimse
çıngırakçılık,Çıngırakçının yaptığı iş
çıngıraklı,"Çıngırak taşıyan, üzerinde çıngırak bulunan"
çıngıraklı deve kaybolmaz,`kalıcı eser bırakan kimseler hiçbir zaman unutulmaz` anlamında kullanılan bir söz
çıngıraklı yılan,"Çıngıraklı yılangillerden, kuyruk ucundaki sert pulları kımıldatarak kuru yaprak hışırtısına benzer bir ses çıkartan tehlikeli bir yılan (Crotalus)"
çıngıraklı yılangiller,Omurgalı hayvanlardan sürüngenler sınıfına giren bir familya
çıngır çıngır,Çıngırak sesine benzer ses çıkararak
çıngırdak,Çıngırak
çıngırdama,Çıngırdamak işi
çıngırdamak,Çıngırak sesi çıkarmak
çıngırdatma,Çıngırdatmak işi
çıngırdatmak,Çıngırak sesi çıkarmasını sağlamak
çıngırtı,Çıngırağın sesine benzer keskin ve kesik sesin adı
çınlak,"Çınlaması, yankısı çok olan (yer)"
çınlama,Çınlamak işi
çınlamak,`Çın` diye ses çıkarmak
çınlamalı,Çınlaması olan
çınlatış,Çınlatma işi
çınlatma,Çınlatmak işi
çınlatmak,Çınlamasını sağlamak
çınlayış,Çınlama işi
çınsabah,"Sabahleyin, çok erken"
çıpı çıpı,Çocuk dilinde yıkanma
çıpıl çıpıl,Su ile oynayarak
cıbıldak,Çıplak
çıpır,Yonga
çıpır makinesi,Elyaflı plaka imalatında kullanılmak üzere odunları yonga durumuna getiren makine
çıplak,"Üstünde bulunması gereken giysi, örtü vb. bulunmayan, üryan, nü, cıbıl, cıbıldak"
çıplak alev,Isıtılacak maddelere veya bunların içinde bulunduğu kaplara doğrudan doğruya yöneltilen ateş veya alev
çıplak at,"Koşumları ve gemi takılmamış, eyerlenmemiş at"
çıplaklar kampı,İnsanların giysisiz dolaştıkları dinlenme bölgesi
çıplaklaşma,Çıplaklaşmak işi
çıplaklaşmak,Çıplak duruma gelmek
çıplaklaştırma,Çıplaklaştırmak işi
